titulo,autor,sinopse,confianca
Taiwan Travelogue,Yáng Shuāng-zǐ,"Romance que se apresenta como a tradução de um redescoberto diário de viagem japonês dos anos 1930, narrando o tour culinário de duas mulheres por Taiwan sob domínio japonês, explorando colonialismo, classe social e um romance velado entre as duas.",alta
The Nights Are Quiet in Tehran,Shida Bazyar,"Romance que acompanha gerações de uma família em torno da Revolução Iraniana e do exílio na Alemanha, alternando dor e humor ao narrar como os eventos políticos moldaram destinos pessoais dentro e fora do Irã.",media
She Who Remains,Rene Karabash,"Ambientado nos Bálcãs, narra a história de uma 'virgem jurada', mulher que renuncia à feminilidade para viver com status e liberdades masculinas segundo uma antiga tradição, num conto moderno com tom de fábula sombria.",media
The Director,Daniel Kehlmann,"Romance inspirado na vida de um diretor de cinema alemão moralmente comprometido que segue fazendo filmes sob o regime nazista, equilibrando ambição artística, covardia e sobrevivência.",media
On Earth As It Is Beneath,Ana Paula Maia,"Ambientado numa colônia prisional brutal no interior do Brasil, é uma exploração dura e perturbadora do poder, da corrupção e da crueldade masculina.",media
The Witch,Marie NDiaye,"Ambientado na Dinamarca, acompanha uma nobre acusada de bruxaria, misturando realismo e magia numa prosa muito elogiada pela qualidade da linguagem.",media
We Are Green and Trembling,Gabriela Cabezón Cámara,"Narrado por um conquistador argentino queer, mistura tons lúdicos e devastadores para revisitar a história colonial da América do Sul sob uma perspectiva de transformação e resistência.",media
The Remembered Soldier,Anjet Daanje,"Ambientado num asilo para soldados traumatizados na Bélgica após a Primeira Guerra Mundial, investiga até onde os seres humanos são capazes de ir em nome do amor.",media
The Deserters,Mathias Énard,"Entrelaça duas histórias contrastantes sobre guerra, deserção e sobrevivência, numa prosa descrita como ao mesmo tempo crua e refinada.",media
Small Comfort,Ia Genberg,"Romance sueco sobre memória, relações pessoais e os pequenos consolos que sustentam a vida cotidiana, na mesma linha intimista da autora premiada pelo August Prize.",baixa
The Duke,Matteo Melchiorre,"Um aristocrata italiano peculiar retorna às suas terras no interior da Itália, numa trama cheia de reviravoltas em torno de herança, propriedade e tradição.",media
Women Without Men,Shahrnush Parsipur,"Clássico do realismo mágico persa, banido no Irã, que acompanha várias mulheres que escapam de suas vidas restritas rumo a um jardim onde reconstroem a própria existência longe do controle masculino.",alta
The Wax Child,Olga Ravn,"Romance histórico sobre acusações de bruxaria na Dinamarca do século XVII, narrado a partir da perspectiva de um boneco de cera testemunha dos julgamentos, com tom obscuro e hipnótico.",media
Heart Lamp,Banu Mushtaq,"Coletânea de contos que retrata o cotidiano de mulheres muçulmanas no sul da Índia, lidando com patriarcado, família e fé, escritos ao longo de décadas em canarês.",alta
On the Calculation of Volume I,Solvej Balle,"Uma mulher dinamarquesa fica presa revivendo repetidamente o mesmo dia (18 de novembro), e o romance investiga as consequências filosóficas e emocionais de viver fora do tempo compartilhado com todos ao seu redor.",alta
Small Boat,Vincent Delecroix,"Baseado em um caso real, narra a perspectiva de uma operadora de resgate marítimo francesa que recebeu pedidos de socorro de um barco de migrantes afundando no Canal da Mancha e não agiu a tempo, misturando ficção e reflexão sobre responsabilidade moral e burocracia.",media
Under the Eye of the Big Bird,Hiromi Kawakami,"Ficção especulativa ambientada num futuro distante em que a humanidade está à beira da extinção, acompanhando diferentes comunidades que tentam garantir a sobrevivência da espécie por meios cada vez mais estranhos.",media
Perfection,Vincenzo Latronico,"Retrato irônico de um casal de nômades digitais expatriados em Berlim, cuja vida esteticamente perfeita nas redes sociais esconde um vazio existencial crescente, em diálogo direto com o clássico 'As Coisas' de Georges Perec.",alta
A Leopard-Skin Hat,Anne Serre,"Acompanha décadas de amizade entre um homem e uma mulher instável emocionalmente apelidada de Fauve, revisitando momentos-chave da relação dos dois enquanto ela enfrenta uma doença mental não nomeada.",media
The Book of Disappearance,Ibtisam Azem,"Todos os palestinos desaparecem misteriosamente da noite para o dia, e o romance narra a reação israelense ao sumiço em meio ao diário deixado por um dos desaparecidos, refletindo sobre apagamento, memória e ocupação.",media
There's a Monster Behind the Door,Gaëlle Bélem,"Romance semi-autobiográfico ambientado na ilha da Reunião, narrado por uma menina que cresce sob a violência de um pai abusivo, misturando humor sombrio e crueldade doméstica.",media
Solenoid,Mircea Cărtărescu,"Narrado como o diário de um professor de romeno fracassado que descobre estranhas anomalias sob sua casa em Bucareste, mistura autoficção, ciência e delírio numa obra vasta e labiríntica sobre a busca por escapar da própria existência.",media
Reservoir Bitches,Dahlia de la Cerda,"Coletânea de contos narrados por mulheres mexicanas de diferentes classes sociais, todas enfrentando alguma forma de violência machista, com linguagem crua e direta.",media
Hunchback,Saou Ichikawa,"Narrado por uma mulher japonesa com uma grave deficiência física, explora com franqueza seu desejo sexual, sua raiva contra uma sociedade capacitista e sua busca por prazer e autonomia sobre o próprio corpo.",alta
Eurotrash,Christian Kracht,"Um escritor suíço leva a mãe idosa, alcoólatra e portadora de uma fortuna de origem obscura, numa viagem de carro pela Suíça, confrontando os segredos nazistas da família e a riqueza mal explicada por trás do conforto burguês.",alta
On a Woman's Madness,Astrid Roemer,"Uma jovem no Suriname deixa o marido logo após o casamento em busca de independência e amor entre mulheres, desafiando as expectativas sociais de sua época numa sociedade pós-colonial.",media
