titulo,autor,idioma_original,pais_autor,ano_premio,tipo_premio,editora_fonte,forma,premio
Taiwan Travelogue,Yáng Shuāng-zǐ,chinês (mandarim),Taiwan,2026,vencedor,And Other Stories,romance,International Booker Prize
The Nights Are Quiet in Tehran,Shida Bazyar,alemão,Alemanha,2026,finalista,Scribe UK,romance,International Booker Prize
She Who Remains,Rene Karabash,búlgaro,Bulgária,2026,finalista,Peirene Press,romance,International Booker Prize
The Director,Daniel Kehlmann,alemão,Alemanha,2026,finalista,riverrun,romance,International Booker Prize
On Earth As It Is Beneath,Ana Paula Maia,português,Brasil,2026,finalista,Charco Press,romance,International Booker Prize
The Witch,Marie NDiaye,francês,França,2026,finalista,MacLehose Press,romance,International Booker Prize
We Are Green and Trembling,Gabriela Cabezón Cámara,espanhol,Argentina,2026,lista_longa,Harvill,romance,International Booker Prize
The Remembered Soldier,Anjet Daanje,holandês,Países Baixos,2026,lista_longa,Scribe UK,romance,International Booker Prize
The Deserters,Mathias Énard,francês,França,2026,lista_longa,Fitzcarraldo Editions,romance,International Booker Prize
Small Comfort,Ia Genberg,sueco,Suécia,2026,lista_longa,Wildfire Books,romance,International Booker Prize
The Duke,Matteo Melchiorre,italiano,Itália,2026,lista_longa,Foundry Editions,romance,International Booker Prize
Women Without Men,Shahrnush Parsipur,persa,Irã,2026,lista_longa,Penguin,contos,International Booker Prize
The Wax Child,Olga Ravn,dinamarquês,Dinamarca,2026,lista_longa,Viking,romance,International Booker Prize
Heart Lamp,Banu Mushtaq,canarês (kannada),Índia,2025,vencedor,And Other Stories,contos,International Booker Prize
On the Calculation of Volume I,Solvej Balle,dinamarquês,Dinamarca,2025,finalista,Faber,romance,International Booker Prize
Small Boat,Vincent Delecroix,francês,França,2025,finalista,Small Axes,romance,International Booker Prize
Under the Eye of the Big Bird,Hiromi Kawakami,japonês,Japão,2025,finalista,Granta Books,romance,International Booker Prize
Perfection,Vincenzo Latronico,italiano,Itália,2025,finalista,Fitzcarraldo Editions,romance,International Booker Prize
A Leopard-Skin Hat,Anne Serre,francês,França,2025,finalista,Lolli Editions,romance,International Booker Prize
The Book of Disappearance,Ibtisam Azem,árabe,Palestina,2025,lista_longa,And Other Stories,romance,International Booker Prize
There's a Monster Behind the Door,Gaëlle Bélem,francês,Reunião (França),2025,lista_longa,Bullaun Press,romance,International Booker Prize
Solenoid,Mircea Cărtărescu,romeno,Romênia,2025,lista_longa,Pushkin Press,romance,International Booker Prize
Reservoir Bitches,Dahlia de la Cerda,espanhol,México,2025,lista_longa,Scribe UK,contos,International Booker Prize
Hunchback,Saou Ichikawa,japonês,Japão,2025,lista_longa,Viking,romance,International Booker Prize
Eurotrash,Christian Kracht,alemão,Suíça,2025,lista_longa,Serpent's Tail,romance,International Booker Prize
On a Woman's Madness,Astrid Roemer,holandês,Suriname,2025,lista_longa,Tilted Axis Press,romance,International Booker Prize
Kairos,Jenny Erpenbeck,alemão,Alemanha,2024,vencedor,Granta Books,romance,International Booker Prize
Not a River,Selva Almada,espanhol,Argentina,2024,finalista,Charco Press,romance,International Booker Prize
The Details,Ia Genberg,sueco,Suécia,2024,finalista,Wildfire Books,romance,International Booker Prize
Mater 2-10,Hwang Sok-yong,coreano,Coreia do Sul,2024,finalista,Scribe UK,romance,International Booker Prize
Crooked Plow,Itamar Vieira Junior,português,Brasil,2024,finalista,Verso Fiction,romance,International Booker Prize
What I'd Rather Not Think About,Jente Posthuma,holandês,Países Baixos,2024,finalista,Scribe UK,romance,International Booker Prize
Simpatía,Rodrigo Blanco Calderón,espanhol,Venezuela,2024,lista_longa,Seven Stories Press UK,romance,International Booker Prize
White Nights,Urszula Honek,polonês,Polônia,2024,lista_longa,MTO Press,contos,International Booker Prize
A Dictator Calls,Ismail Kadare,albanês,Albânia,2024,lista_longa,Harvill Secker,romance,International Booker Prize
The Silver Bone,Andrey Kurkov,russo,Ucrânia,2024,lista_longa,MacLehose Press,romance,International Booker Prize
Lost on Me,Veronica Raimo,italiano,Itália,2024,lista_longa,Virago,romance,International Booker Prize
The House on Via Gemito,Domenico Starnone,italiano,Itália,2024,lista_longa,Europa Editions,romance,International Booker Prize
Undiscovered,Gabriela Wiener,espanhol,Peru,2024,lista_longa,Pushkin Press,nao_ficcao_narrativa,International Booker Prize
Time Shelter,Georgi Gospodinov,búlgaro,Bulgária,2023,vencedor,Weidenfeld & Nicolson,romance,International Booker Prize
Boulder,Eva Baltasar,catalão,Espanha,2023,finalista,And Other Stories,romance,International Booker Prize
Standing Heavy,GauZ',francês,Costa do Marfim,2023,finalista,Hachette,romance,International Booker Prize
Still Born,Guadalupe Nettel,espanhol,México,2023,finalista,Fitzcarraldo Editions,romance,International Booker Prize
The Gospel According to the New World,Maryse Condé,francês,Guadalupe,2023,finalista,World Editions,romance,International Booker Prize
Whale,Cheon Myeong-kwan,coreano,Coreia do Sul,2023,finalista,Europa Editions,romance,International Booker Prize
Ninth Building,Zou Jingzhi,chinês (mandarim),China,2023,lista_longa,Honford Star,nao_ficcao_narrativa,International Booker Prize
Pyre,Perumal Murugan,tâmil,Índia,2023,lista_longa,Pushkin Press,romance,International Booker Prize
While We Were Dreaming,Clemens Meyer,alemão,Alemanha,2023,lista_longa,Fitzcarraldo Editions,romance,International Booker Prize
Jimi Hendrix Live In Lviv,Andrey Kurkov,russo,Ucrânia,2023,lista_longa,Quercus,romance,International Booker Prize
