titulo,autor,sinopse,confianca
Anne de Windy Poplars,Lucy Maud Montgomery,"Já formada, Anne Shirley assume a direção de uma escola em Summerside e precisa conquistar a simpatia de uma família local hostil, a Pringle, enquanto mantém um noivado à distância com Gilbert por meio de cartas.",media
Anne da Ilha,Lucy Maud Montgomery,"Anne deixa Avonlea para estudar na faculdade Redmond, faz novas amizades, recebe pedidos de casamento e amadurece emocionalmente até perceber seus verdadeiros sentimentos por Gilbert.",media
Anne de Avonlea,Lucy Maud Montgomery,"De volta a Avonlea, Anne se torna professora na escola local, ajuda a fundar uma sociedade de melhorias para a vila e passa a cuidar de um par de gêmeos órfãos ao lado de Marilla.",media
Anne de Green Gables,Lucy Maud Montgomery,"Uma órfã imaginativa e falante é adotada por engano por um irmão e uma irmã solteirões em Avonlea, e conquista aos poucos a comunidade enquanto cresce e enfrenta seus próprios erros.",alta
Chaves - A História Oficial Ilustrada,,"Biografia ilustrada de Roberto Gómez Bolaños, o criador e intérprete de Chaves e Chapolin Colorado, contando sua trajetória de vida e quase sessenta anos de carreira por meio de textos e fotos de acervo pessoal.",alta
Pollyanna,Eleanor H. Porter,"Uma menina órfã extremamente otimista vai morar com a tia rígida numa pequena cidade e transforma a vida das pessoas ao seu redor com o seu 'jogo do contente', que consiste em achar algo bom em qualquer situação.",alta
Os Sete Últimos Meses de Anne Frank,Willy Lindwer,"Relato não-ficcional construído a partir de depoimentos de mulheres que conviveram com Anne Frank nos campos de concentração, reconstituindo os meses finais de sua vida após a família ser descoberta pelos nazistas.",media
O Diário de Anne Frank,Anne Frank,"Diário real escrito por uma adolescente judia escondida com a família em um anexo secreto em Amsterdã durante a ocupação nazista, registrando o cotidiano, os medos e as esperanças ao longo de dois anos.",alta
O Menino Sem Imaginação,Carlos Eduardo Novaes,"Tavinho é um garoto viciado em televisão que nunca precisou usar a própria imaginação. Quando uma pane deixa o Brasil inteiro sem sinal de TV, ele é forçado a aprender a imaginar por conta própria pela primeira vez.",alta
Diário de um Banana,Jeff Kinney,"Em formato de diário ilustrado com desenhos simples, o pré-adolescente Greg Heffley narra, com humor autodepreciativo, as desventuras e humilhações do primeiro ano no ensino fundamental maior.",alta
Diário de um Banana - Rodrick É o Cara,Jeff Kinney,"Greg passa o verão sendo atormentado pelo irmão mais velho, Rodrick, que descobre um segredo embaraçoso sobre ele e ameaça usá-lo para chantageá-lo assim que as aulas recomeçam.",alta
A Garota do Lago,Charlie Donlea,"Uma documentarista investigando o desaparecimento não resolvido de uma adolescente décadas atrás acaba cruzando esse caso antigo com um crime atual, revelando conexões entre os dois.",media
O Pequeno Príncipe,Antoine de Saint-Exupéry,"Um piloto perdido no deserto encontra um pequeno príncipe vindo de outro planeta, que relata suas viagens por diferentes mundos e reflete sobre amor, amizade, perda e a incompreensão dos adultos.",alta
A Guerra dos Tronos,George R.R. Martin,"Primeiro livro da saga que acompanha várias famílias nobres disputando o trono de Westeros em meio a intrigas políticas, traições e uma ameaça sobrenatural crescente no extremo norte do continente.",alta
Contos de Princesas,Su Blackwell,"Coletânea ilustrada reunindo recontos de contos de fadas clássicos protagonizados por princesas, com arte inspirada em recortes de papel.",baixa
Robin Hood,Henry Gilbert,"Reconto clássico das lendas de Robin Hood e seus companheiros, que vivem na Floresta de Sherwood roubando dos ricos para ajudar os pobres enquanto enfrentam o Xerife de Nottingham e o Príncipe João.",alta
Ali-Babá e os Quarenta Ladrões (adaptação),Edson Rocha Braga,Adaptação do conto das Mil e Uma Noites em que Ali-Babá descobre a senha secreta de um bando de quarenta ladrões para abrir a caverna onde escondem seu tesouro.,alta
Crônicas de Avonlea,Lucy Maud Montgomery,"Coletânea de contos independentes ambientados no universo de Avonlea, cada um focado em um morador diferente da vila, com Anne aparecendo apenas como personagem secundária em alguns deles.",alta
Harry Potter e a Câmara Secreta,J.K. Rowling,"No segundo ano em Hogwarts, Harry descobre que uma câmara secreta foi reaberta, liberando um monstro que petrifica alunos, e precisa desvendar o mistério antes que alguém morra.",alta
Harry Potter e a Pedra Filosofal,J.K. Rowling,"Harry descobre que é bruxo, vai estudar em Hogwarts e, junto com seus novos amigos, precisa impedir que um objeto mágico poderoso caia nas mãos do bruxo das trevas que matou seus pais.",alta
O Morro dos Ventos Uivantes,Emily Brontë,"Romance sombrio sobre a paixão obsessiva e destrutiva entre Heathcliff e Catherine, cujos efeitos se espalham por duas gerações de famílias nos ermos da Inglaterra rural.",alta
Pollyanna Moça,Eleanor H. Porter,"Sequência que acompanha Pollyanna já adulta, ainda guiada pelo seu 'jogo do contente', enfrentando novos desafios amorosos e pessoais na vida adulta.",media
Tartarugas Até Lá Embaixo,John Green,"Uma adolescente com transtorno obsessivo-compulsivo tenta equilibrar a amizade, um romance e a investigação do desaparecimento de um bilionário local, enquanto lida com espirais de pensamentos intrusivos.",alta
Peter Pan,James M. Barrie,"O menino que se recusa a crescer leva os irmãos Darling para a Terra do Nunca, onde vivem aventuras com fadas, sereias e piratas, enfrentando o Capitão Gancho.",alta
Rilla de Ingleside,Lucy Maud Montgomery,"A caçula da família Blythe amadurece durante a Primeira Guerra Mundial, enquanto irmãos e amigos partem para o front e a vida em Ingleside é marcada pela espera e pelo luto.",alta
Vale do Arco-Íris,Lucy Maud Montgomery,"Acompanha os filhos de Anne e os filhos órfãos de um pastor da vizinhança, com suas travessuras e amizades num vale próximo a Ingleside.",media
Anne de Ingleside,Lucy Maud Montgomery,"Anne já casada e mãe de vários filhos administra o cotidiano familiar em Ingleside, com episódios domésticos, tensões com a sogra e a rotina da vida adulta.",media
Anne e Casa dos Sonhos,Lucy Maud Montgomery,"Anne se casa com Gilbert e se muda para a primeira casa do casal à beira-mar, enfrentando os altos e baixos dos primeiros anos de casamento e maternidade.",media
O Jardim Secreto,Frances Hodgson Burnett,"Uma menina órfã e mal-humorada vai morar na mansão isolada de um tio e descobre um jardim secreto trancado havia anos, cuja recuperação transforma a ela e a um primo doente que vivia escondido.",alta
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,"No terceiro ano, Harry descobre que um perigoso prisioneiro fugitivo de Azkaban, acusado de trair seus pais, pode estar atrás dele, enquanto Dementadores passam a rondar Hogwarts.",alta
Pluft o Fantasminha,Maria Clara Machado,"Peça teatral infantil sobre um fantasminha medroso que tem pavor de gente, até cair no mundo dos humanos e fazer amizade com uma menina, descobrindo que os dois lados podem se entender.",media
A Liga dos Cabeças Vermelhas,Arthur Conan Doyle,"Conto clássico de Sherlock Holmes em que um homem ruivo é contratado para um emprego estranho e sem sentido numa sociedade secreta, o que Holmes desconfia ser fachada para um plano criminoso maior.",alta
O Fantástico Mistério de Feiurinha,Pedro Bandeira,"Numa época pós-fim dos contos de fadas, princesas famosas como Branca de Neve e Cinderela se reúnem para investigar o desaparecimento misterioso de Feiurinha, uma personagem que ninguém mais consegue lembrar direito.",alta
O Rapto das Cebolinhas,Maria Clara Machado,"Peça teatral em que o avô de uma família tem suas preciosas mudas de cebolinha roubadas, e um estranho personagem disfarçado de detetive (o Camaleão Alface) se oferece para investigar o sumiço, gerando confusão entre os moradores e os bichos da casa.",alta
O Menino Narigudo,Walcyr Carrasco,"Versão juvenil de Cyrano de Bergerac: Cirano tem um nariz enorme e se apaixona por Roxane, mas acredita que ela nunca poderia gostar dele por causa da aparência, então ajuda seu amigo bonito e atlético, Cristiano, a conquistá-la escrevendo poemas de amor em nome dele.",alta
O Cavaleiro Preso na Armadura,Robert Fisher,"Fábula de autoajuda sobre um cavaleiro que veste sua armadura por tanto tempo que ela gruda em seu corpo e não sai mais, obrigando-o a passar por uma jornada de autoconhecimento para conseguir se libertar dela.",alta
Perto do Coração Selvagem,Clarice Lispector,"Romance de estreia de Clarice Lispector, narrado em fluxo de consciência, que acompanha a formação interior de Joana, uma mulher inquieta e introspectiva, desde a infância até a vida adulta.",alta
O Ódio Que Você Semeia,Angie Thomas,"Starr, uma adolescente negra, testemunha um policial branco atirar e matar seu melhor amigo de infância, desarmado, durante uma abordagem, e precisa decidir se vai se manifestar publicamente em busca de justiça, dividida entre os dois mundos em que vive.",alta
Robin Hood (adaptação),Telma Guimarães Castro Andrade,"Adaptação das lendas de Robin Hood e seus companheiros na Floresta de Sherwood, roubando dos ricos para ajudar os pobres enquanto enfrentam o Xerife de Nottingham.",media
Harry Potter e o Cálice de Fogo,J.K. Rowling,"No quarto ano em Hogwarts, o nome de Harry sai misteriosamente do Cálice de Fogo e ele é forçado a competir no perigoso Torneio Tribruxo contra concorrentes mais velhos e experientes.",alta
Turma da Mônica Jovem - A Hora da Verdade,,"Quarto e último volume da novelização da série animada Turma da Mônica Jovem, reunindo três histórias sobre as inseguranças da adolescência: uma música que expõe o diário de Mônica, o dilema de Jeremias entre uma viagem e sua nova paixão pelo teatro, e a tensão entre Cebolinha e Mônica num jantar de namorados.",alta
As Aventuras de Tom Sawyer,Mark Twain,"Um garoto travesso e cheio de imaginação vive aventuras às margens do rio Mississippi, incluindo testemunhar um crime, caçar tesouros e se perder em cavernas, num retrato nostálgico da infância no interior dos Estados Unidos do século 19.",alta
O Médico e o Monstro,Robert Louis Stevenson,"Novela clássica sobre o Dr. Jekyll, um médico respeitável que desenvolve uma poção capaz de separar seu lado bom do lado maligno, dando origem ao violento e descontrolado Sr. Hyde, que aos poucos passa a dominá-lo.",alta
O Retrato de Dorian Gray,Oscar Wilde,"Um jovem extremamente belo faz um pacto silencioso para que seu retrato envelheça e carregue as marcas de seus pecados em seu lugar, permitindo que ele viva uma vida de excessos e corrupção moral sem que isso apareça em seu rosto.",alta
Fragmentos do Horror,Junji Ito,"Coletânea de contos de terror do mangaká japonês Junji Ito, misturando surrealismo e body horror em histórias independentes sobre obsessão, desejo e o bizarro, incluindo casas amaldiçoadas e transformações corporais grotescas.",alta
Heartstopper Volume 1,Alice Oseman,"Charlie, um garoto gay que acabou de sair do armário, e Nick, um jogador de rugby popular, se tornam amigos na escola. Aos poucos os sentimentos de Charlie crescem, e Nick começa a questionar sua própria sexualidade.",alta
Heartstopper Volume 2,Alice Oseman,"Charlie e Nick assumem o namoro em segredo enquanto Nick decide como e quando contar aos amigos e à família que é bissexual, lidando com a pressão de se abrir sobre a própria identidade.",alta
Heartstopper Volume 3,Alice Oseman,"Durante uma viagem escolar a Paris com os amigos, Charlie e Nick assumem o relacionamento publicamente, enquanto surgem sinais de que Charlie enfrenta problemas de ansiedade e um transtorno alimentar.",alta
Heartstopper Volume 4,Alice Oseman,"Nick e os amigos se mobilizam para apoiar Charlie enquanto ele enfrenta tratamento para transtorno alimentar e ansiedade, ao mesmo tempo em que o grupo lida com as pressões dos exames finais e planos para o futuro.",alta
Quem Mexeu No Meu Queijo?,Spencer Jhonson,"Fábula curta de autoajuda sobre dois ratos e dois humanos em miniatura que vivem em um labirinto à procura de queijo; quando o queijo desaparece, cada um reage de um jeito diferente à mudança, ilustrando formas de lidar com o inesperado na vida e no trabalho.",alta
Daisy Jones & The Six,Taylor Jenkins Reid,"Romance ficcional em formato de história oral (entrevistas transcritas) que reconstrói a ascensão e o colapso dramático de uma banda de rock dos anos 1970, centrado na relação tensa e magnética entre a vocalista Daisy Jones e o líder da banda, Billy Dunne.",alta
A Metamorfose,Franz Kafka,"Gregor Samsa acorda uma manhã transformado inexplicavelmente em um inseto monstruoso, e a novela acompanha sua crescente alienação e a deterioração da relação com a própria família diante da situação.",alta
