titulo,autor,data_leitura,nota,abandonei,editora,porte_editora,pais_autor,forma
Anne de Windy Poplars,Lucy Maud Montgomery,2021,4.5,0,Ciranda Cultural,media,Canadá,romance
Anne da Ilha,Lucy Maud Montgomery,2021,5.0,0,Ciranda Cultural,media,Canadá,romance
Anne de Avonlea,Lucy Maud Montgomery,2020,5.0,0,Ciranda Cultural,media,Canadá,romance
Anne de Green Gables,Lucy Maud Montgomery,2020,5.0,0,Ciranda Cultural,media,Canadá,romance
Chaves - A História Oficial Ilustrada,,2019,2.0,0,Universo dos Livros,media,México,nao_ficcao_narrativa
Pollyanna,Eleanor H. Porter,2020,4.0,0,Pé da Letra,independente,Estados Unidos,romance
Os Sete Últimos Meses de Anne Frank,Willy Lindwer,2020,3.5,0,Universo dos Livros,media,Países Baixos,nao_ficcao_narrativa
O Diário de Anne Frank,Anne Frank,2020,3.5,0,BestBolso,media,Alemanha,nao_ficcao_narrativa
O Menino Sem Imaginação,Carlos Eduardo Novaes,2019,3.0,0,Ática,multinacional,Brasil,romance
Diário de um Banana,Jeff Kinney,2019,4.0,0,VR,media,Estados Unidos,hibrido
Diário de um Banana - Rodrick É o Cara,Jeff Kinney,2019,4.0,0,VR,media,Estados Unidos,hibrido
A Garota do Lago,Charlie Donlea,2020,4.5,0,Faro Editorial,independente,Estados Unidos,romance
O Pequeno Príncipe,Antoine de Saint-Exupéry,2020,5.0,0,Harperkids,multinacional,França,novela
A Guerra dos Tronos,George R.R. Martin,2022,5.0,0,LeYa,multinacional,Estados Unidos,romance
Contos de Princesas,Su Blackwell,2015,3.5,0,WMF Martins Fontes,independente,Reino Unido,contos
Robin Hood,Henry Gilbert,2026,3.0,0,Nova Fronteira,media,Reino Unido,romance
Ali-Babá e os Quarenta Ladrões (adaptação),Edson Rocha Braga,2018,2.5,0,Scipione,multinacional,Brasil,contos
Crônicas de Avonlea,Lucy Maud Montgomery,2026,3.5,0,Ciranda Cultural,media,Canadá,contos
Harry Potter e a Câmara Secreta,J.K. Rowling,2021,5.0,0,Rocco,media,Reino Unido,romance
Harry Potter e a Pedra Filosofal,J.K. Rowling,2021,5.0,0,Rocco,media,Reino Unido,romance
O Morro dos Ventos Uivantes,Emily Brontë,2022,3.5,0,Principis,media,Reino Unido,romance
Pollyanna Moça,Eleanor H. Porter,2021,5.0,0,Pé da Letra,independente,Estados Unidos,romance
Tartarugas Até Lá Embaixo,John Green,2021,5.0,0,Intrínseca,media,Estados Unidos,romance
Peter Pan,James M. Barrie,2021,3.5,0,Ciranda Cultural,media,Reino Unido,romance
Rilla de Ingleside,Lucy Maud Montgomery,2022,4.0,0,Ciranda Cultural,media,Canadá,romance
Vale do Arco-Íris,Lucy Maud Montgomery,2022,5.0,0,Ciranda Cultural,media,Canadá,romance
Anne de Ingleside,Lucy Maud Montgomery,2022,5.0,0,Ciranda Cultural,media,Canadá,romance
Anne e Casa dos Sonhos,Lucy Maud Montgomery,2021,4.5,0,Ciranda Cultural,media,Canadá,romance
O Jardim Secreto,Frances Hodgson Burnett,2022,5.0,0,Darkside,independente,Reino Unido,romance
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,2022,5.0,0,Rocco,media,Reino Unido,romance
Pluft o Fantasminha,Maria Clara Machado,2019,2.5,0,Companhia das Letrinhas,multinacional,Brasil,hibrido
A Liga dos Cabeças Vermelhas,Arthur Conan Doyle,2019,2.0,0,Farol HQ,media,Reino Unido,hibrido
O Fantástico Mistério de Feiurinha,Pedro Bandeira,2018,3.0,0,FTD,media,Brasil,hibrido
O Rapto das Cebolinhas,Maria Clara Machado,2018,2.0,0,Companhia das Letrinhas,multinacional,Brasil,hibrido
O Menino Narigudo,Walcyr Carrasco,2018,2.0,0,Moderna,multinacional,Brasil,hibrido
O Cavaleiro Preso na Armadura,Robert Fisher,2020,3.5,0,Nova Era,media,Estados Unidos,novela
Perto do Coração Selvagem,Clarice Lispector,2026,3.5,0,Rocco,media,Brasil,romance
O Ódio Que Você Semeia,Angie Thomas,2026,4.5,0,Galera,media,Estados Unidos,romance
Robin Hood (adaptação),Telma Guimarães Castro Andrade,2018,2.5,0,Scipione,multinacional,Brasil,hibrido
Harry Potter e o Cálice de Fogo,J.K. Rowling,2024,5.0,0,Rocco,media,Reino Unido,romance
Turma da Mônica Jovem - A Hora da Verdade,,2024,3.5,0,MilkShakespeare,independente,Brasil,hibrido
As Aventuras de Tom Sawyer,Mark Twain,2026,3.5,0,Lafonte,independente,Estados Unidos,romance
O Médico e o Monstro,Robert Louis Stevenson,2024,3.5,0,Principis,media,Reino Unido,novela
O Retrato de Dorian Gray,Oscar Wilde,2026,2.5,0,Principis,media,Irlanda,romance
Fragmentos do Horror,Junji Ito,2024,4.0,0,Darkside,independente,Japão,hibrido
Heartstopper Volume 1,Alice Oseman,2022,5.0,0,Seguinte,multinacional,Reino Unido,hibrido
Heartstopper Volume 2,Alice Oseman,2022,5.0,0,Seguinte,multinacional,Reino Unido,hibrido
Heartstopper Volume 3,Alice Oseman,2022,5.0,0,Seguinte,multinacional,Reino Unido,hibrido
Heartstopper Volume 4,Alice Oseman,2022,5.0,0,Seguinte,multinacional,Reino Unido,hibrido
Quem Mexeu No Meu Queijo?,Spencer Jhonson,2020,4.0,0,Record,media,Estados Unidos,novela
Daisy Jones & The Six,Taylor Jenkins Reid,2022,5.0,0,Paralela,multinacional,Estados Unidos,romance
A Metamorfose,Franz Kafka,2023,4.0,0,Pé da Letra,independente,Tchéquia,novela
